test data,Uncal.,ETS w/o DAC,ETS + DAC
natural_1,0.10578292,0.01405029,0.009140372
natural_2,0.10578292,0.01405029,0.009140372
natural_3,0.10578292,0.01405029,0.009140372
natural_4,0.10578292,0.01405029,0.009140372
natural_5,0.10578292,0.01405029,0.009140372
gaussian_noise_1,0.12027731,0.012351999,0.0129477475
gaussian_noise_2,0.15578029,0.023762822,0.021677008
gaussian_noise_3,0.19936956,0.049551956,0.04173573
gaussian_noise_4,0.22407049,0.065538526,0.054076865
gaussian_noise_5,0.25688726,0.08950864,0.07374306
shot_noise_1,0.11346714,0.013672066,0.0069977096
shot_noise_2,0.12644754,0.0102077145,0.010209281
shot_noise_3,0.1683637,0.030398214,0.025486756
shot_noise_4,0.19767132,0.049777467,0.041109152
shot_noise_5,0.23217326,0.067314856,0.05219944
speckle_noise_1,0.11600718,0.0091008255,0.009151744
speckle_noise_2,0.13701662,0.0152139375,0.014327383
speckle_noise_3,0.15792409,0.024119884,0.019954598
speckle_noise_4,0.20081717,0.04991871,0.038985617
speckle_noise_5,0.24222183,0.07471128,0.055712815
impulse_noise_1,0.14362334,0.016881233,0.011363032
impulse_noise_2,0.1988042,0.047545448,0.03814452
impulse_noise_3,0.24364713,0.07561993,0.059921265
impulse_noise_4,0.33132482,0.13991076,0.11016016
impulse_noise_5,0.40930277,0.20137563,0.16021536
defocus_blur_1,0.109139904,0.012548335,0.007934082
defocus_blur_2,0.12211397,0.011388118,0.013216594
defocus_blur_3,0.15523961,0.023636648,0.024283307
defocus_blur_4,0.20329447,0.052579373,0.042427912
defocus_blur_5,0.3322352,0.15028366,0.1230347
gaussian_blur_1,0.10926914,0.011778379,0.008408543
gaussian_blur_2,0.15642391,0.02525661,0.027574165
gaussian_blur_3,0.20313452,0.052920368,0.046252884
gaussian_blur_4,0.26374927,0.09532103,0.07903926
gaussian_blur_5,0.37713277,0.18598083,0.15707974
motion_blur_1,0.14857106,0.019587802,0.015635481
motion_blur_2,0.19602363,0.043057248,0.03027206
motion_blur_3,0.25801116,0.08482692,0.06396969
motion_blur_4,0.24720201,0.075879954,0.05762779
motion_blur_5,0.30364135,0.11872174,0.094551995
zoom_blur_1,0.1610073,0.024200955,0.017661497
zoom_blur_2,0.17557618,0.032601617,0.023194667
zoom_blur_3,0.20190206,0.046701163,0.03741578
zoom_blur_4,0.23066741,0.06880652,0.05094079
zoom_blur_5,0.2792886,0.10389432,0.07957336
snow_1,0.12746629,0.00936591,0.0119206775
snow_2,0.1620489,0.026132004,0.023186194
snow_3,0.18532169,0.034007724,0.026567914
snow_4,0.2089732,0.047583822,0.038711738
snow_5,0.20453167,0.03909647,0.031016119
fog_1,0.11436783,0.016104864,0.0100423405
fog_2,0.14658265,0.015989639,0.020326007
fog_3,0.20242569,0.047540396,0.045038488
fog_4,0.2746507,0.09605929,0.092892304
fog_5,0.43020996,0.22136292,0.21646026
brightness_1,0.10668495,0.013892089,0.008958099
brightness_2,0.1132086,0.009835063,0.00789011
brightness_3,0.12145088,0.012726718,0.011121193
brightness_4,0.1335816,0.0119735245,0.010980263
brightness_5,0.16406593,0.013529028,0.012108809
contrast_1,0.12173146,0.0109260315,0.015124408
contrast_2,0.22352389,0.062382363,0.06835359
contrast_3,0.332339,0.14260474,0.1535704
contrast_4,0.47642654,0.26301846,0.2867865
contrast_5,0.6351099,0.39397553,0.42889977
elastic_transform_1,0.14258535,0.011308484,0.016561761
elastic_transform_2,0.14524327,0.01630607,0.01268209
elastic_transform_3,0.16593233,0.02664872,0.023780037
elastic_transform_4,0.18106182,0.03310875,0.032720376
elastic_transform_5,0.1847156,0.032473046,0.034792043
pixelate_1,0.10639687,0.012369547,0.009802575
pixelate_2,0.113887616,0.009908289,0.008750681
pixelate_3,0.11818654,0.011030859,0.00854282
pixelate_4,0.14152822,0.018139828,0.014758656
pixelate_5,0.17437604,0.031547528,0.027804883
jpeg_compression_1,0.11528233,0.010194238,0.010239991
jpeg_compression_2,0.12728997,0.014448116,0.014592946
jpeg_compression_3,0.13006714,0.013613255,0.012421167
jpeg_compression_4,0.13378838,0.01575291,0.013397607
jpeg_compression_5,0.1448605,0.017655678,0.01893876
spatter_1,0.12269537,0.01304776,0.007915905
spatter_2,0.16460347,0.025687141,0.024299657
spatter_3,0.20132434,0.044565212,0.04091875
spatter_4,0.1751705,0.0216741,0.017183183
spatter_5,0.24235341,0.066676185,0.052062728
saturate_1,0.14249982,0.015833499,0.018694084
saturate_2,0.16917276,0.026738249,0.032314092
saturate_3,0.120535955,0.014366627,0.007854875
saturate_4,0.16633959,0.02197438,0.008344464
saturate_5,0.22222894,0.04597674,0.019354247
frost_1,0.12781547,0.014468835,0.009711981
frost_2,0.15167639,0.0126335,0.012292115
frost_3,0.18785825,0.027402187,0.02764738
frost_4,0.19025111,0.029100621,0.02545747
frost_5,0.22514221,0.04959347,0.041885216
